日期,代码,名称,买入价,卖出价,收益率%,推荐,评分,异动类型,板块,尾盘分,技术分,资金分,市场分,历史分
20260506,688631,,57.309,57.491,0.2686,strong_buy,35.45,breakout,计算机设备,22.86,88.0,0.0,16.67,10.0
20260506,600203,,12.886,12.854,-0.3051,buy,33.3,breakout,电子元件,28.57,72.0,0.0,16.67,10.0
20260506,301189,,86.043,86.347,0.3031,buy,30.03,breakout,电子元件,14.29,80.0,0.0,16.67,10.0
20260506,600699,,29.745,29.885,0.4213,buy,30.03,breakout,电子元件,14.29,80.0,0.0,16.67,10.0
20260506,002119,,22.011,22.029,0.0317,buy,27.86,breakout,电子元件,8.57,80.0,0.0,16.67,10.0
20260507,300533,,27.954,27.916,-0.1857,strong_buy,41.94,breakout,通信设备,31.43,100.0,0.0,16.67,10.0
20260507,002517,,18.739,18.571,-0.95,strong_buy,41.94,breakout,通信设备,31.43,100.0,0.0,16.67,10.0
20260507,300494,,11.416,11.354,-0.5877,strong_buy,41.94,breakout,通信设备,31.43,100.0,0.0,16.67,10.0
20260507,002519,,8.424,8.396,-0.3872,strong_buy,38.7,rally,电子元件,31.43,88.0,0.0,16.67,10.0
20260507,002279,,7.954,8.016,0.7297,strong_buy,38.69,breakout,计算机设备,22.86,100.0,0.0,16.67,10.0
